quizzes,solutions
000305600006800300040000000000000805050000412000900000003090000000080060019604500,781345629296871354345269187637412895958736412124958736563197248472583961819624573
020007005000000000600095001070004130000000200001050006700010800080070000000200049,123647985958321674647895321572964138469138257831752496794513862286479513315286749
000500003000820001300001790170000000000000300600712040040060000090000000060050200,416579823957823461382641795174395682529486317638712549243167958895234176761958234
300000040002008000091200030005010080064090000000005006180700000000000065070900000,358179642642538971791264538935617284264893157817425396183756429429381765576942813
000040000100900640030000800007000000000108590000000300052001000010703000390050004,879346152125987643634215879587639421243178596961524387752461938418793265396852714
400009000005410003000000007000000020031070008906003000000090000100600080007500046,478359612265417893319826457784965321531274968926183574642798135153642789897531246
080400000130000000000000008400001000507002003000900100000020780200006030076003009,982467315135298674764315298493751862517682943628934157341529786259876431876143529
050000000006005091009000380400000008000038002073000000000010000280470500600000070,358291647746385291129647385412569738965738412873124956537916824281473569694852173
010060900009005000030000076001030002720000040008000000007300009305007600000000020,512763984679485231834129576951834762723691845468572193287316459395247618146958327
530097000000000070000010050000001300004002000109800204000000005070000920091050000,538697142412385679967214853726541398384962517159873264643129785875436921291758436
000000000070006208100000054003050000000300002200800006900000080300070000007025401,829547163574136298136289754463752819798361542215894376952413687341678925687925431
000600004450000200000089300970000003063000000004002700609050000000000000500003061,398625174456731289721489356975148623263597418184362795619254837837916542542873961
030010000000042703020906040500020000349000000000000001000009000006000080005003460,934715628651842793827936145518627934349158276762394851283469517496571382175283469
000060000050000970002005000000200080074000000085040201001007000600004000920600100,713469852456182973892375614169253487274891536385746291541927368638514729927638145
000000000000000731054100008000000500021904000040060007000580000000007090098010002,137892456289645731654173928863721549721954683945368217372589164416237895598416372
008000000000630004001000630030009000400000062000000140000500790170000000005400083,368914527752638914941257638236149875419785362587326149824563791173892456695471283
000000000900100002004028000650000700001000003009702000000005070040000061035010900,823697415967154832514328697652831749471569283389742156196285374248973561735416928
000002000013409002709000015000005000100080006060970080500006000002000000000200030,456712893813459762729863415384625179197384256265971384538146927972538641641297538
000008009000000280030070000048000000000020000607009130000003900090010400570600001,752168349169345287834972615948731562315426798627589134481253976296817453573694821
000710000500000000000000530160020300000030009045600000090200070600000203000006081,932715864586342197417968532169827345728534619345691728891253476674189253253476981
000000000000805049200060301009000000000021038000300000005000000006004800130009602,951243786673815249248967351389756124567421938412398567895672413726134895134589672
000002073080000000005700200900000010800000004600815090000000460400000502000096000,146582973287349156395761248973624815851937624624815397718253469469178532532496781
000000000070480090004020370100005002000003007003000640040000000006310000000008910,219537486375486291684129375167945832498263157523871649841792563956314728732658914
000000000000067000007080012000000000030006500501000893070000000009001024004390008,416239785285167439397584612748953261932816547561742893173428956859671324624395178
000000013000040000004698000000000008030000700028069000001030060009200007600080001,896572413752143689314698572967354128435821796128769354281437965549216837673985241
000000010020000930065030000940050000007800200600000000001200004000609800000000127,739528416428176935165934782942751368517863249683492571351287694274619853896345127
501083007000720000000000010008000020010050900003000001000900080040007500390400000,521683497439721856687549213968174325714352968253896741172935684846217539395468172
050000800010000032008000006090000000040800605000007000002070003300001004005620010,254396871617458932938712456893265147741839625526147398162974583379581264485623719
005001080040000009007659010000000070004200000010000806000035000000000090970000108,695341782341728569827659314536894271784216935219573846168935427452187693973462158
007000030050009001900000000020000000500030029080074103000408000002000006000015800,417562938256389471938147265321956784574831629689274153165428397842793516793615842
000050000000000040003601008000000701020010800070009000400003000000006590059007206,987354612216978345543621978698432751324715869175869423462593187731286594859147236
905800076000000000700049030000000009001008200000370000070000000430005080008090005,945832176823617954716549832687254319351968247294371568572186493439725681168493725
000100000098020006300040050500000003061000000000700860007080300000000009005200408,752163984498527136316948752579816243861432597243759861927684315184375629635291478
003000000000028500200000070000002004010000023630001057100004080050000900090700000,563479218749128536281563479875632194914857623632941857126394785357286941498715362
070000090000400082002109000000500400000010007103600000020000300005000100801026000,374285691619437582582169734267598413958314267143672859426951378795843126831726945
060000000040700080000006130100400005000020800050000076000200300800040020790008000,968314752341752689527896134183467295674925813259183476415279368836541927792638541
000000050000000021039000000400051007017004900000360500000015000900000160640000000,284136759756489321139572648463951287517824936892367514378615492925748163641293875
300007501708006000000800003800004790090000000000023000962000007000000060000040900,326497581758316249149852673835164792294785136617923854962538417481279365573641928
170000036000090040306000080600008201200005000000010000800007000050000000000051063,174582936582396147396174582645738291219645378738219654863927415451863729927451863
000000000700040000090006120400010007000020500501098000000001060000060280000405300,284159736716342958395876124462513897978624513531798642857231469143967285629485371
740060030002005000018002009080020600900000070004080000003700000600090000020004000,749861532362945187518372469187529643956413278234687915493756821671298354825134796
900060000000030000030800406005000000009080300004000297020000004000300000680200015,958764123746132589132895476315927648279486351864513297521678934497351862683249715
053670009000000050000020016000003702900000060000500000020010005106000090000900040,453671829612839457798425316564193782931287564287546931829314675146758293375962148
000001850002008031300500400641000000900005000000000080000906000000000000509040072,496231857752468931318579426641387295983625714275194683127956348834712569569843172
000005030007900100030000705051000097800001056000008000000000028074020000090000000,142785639587963142936214785451632897829471356763598214615347928374829561298156473
001000080000004500005070000002730000000000200358010000203056000900000001006090700,741563982639284517825971346492735168167849235358612479273156894984327651516498723
040000000012000000008200537000000200300080004005307000000040060900000070200790001,543976128712835496698214537167459283329681754485327619871543962934162875256798341
260070038000010070000004602010005000090230400000007200000000000700000080001008700,264579138583612974179384652312465897897231465645897213958726341726143589431958726
001020000080005090060400100000080030000042050097000000000000000070000040032017605,941826573283175496765493128524689731316742859897351264658234917179568342432917685
008091060000240000900070020002000900005000080800630700000007001056000400010000000,728391564563248197941576823132785946675914382894632715289457631356129478417863259
000300590009000003000060070408010000000090000000520908600000700005800300100000064,247381596569274183831965472498617235352498617716523948684132759975846321123759864
051008000070692030000003000007000092000070001060000450000000000090080600640500000,351748926478692135926153784517864392234975861869321457782436519195287643643519278
000300000800600015400050000000004000200060080070090340000020009001008400708000020,152387694837649215469251738983714562214563987576892341345126879621978453798435126
000003001040000830005040000064100080010007000000300007509000060000030050000870003,297583641641729835385641972764152389813497526952368417539214768178936254426875193
028005000400100000000003000000400850000200000100070003700090040980500006560002000,328945761459167382671823495296431857837259614145678923712396548983514276564782139
000000500300000000090018000100900260060000400980100000070300000000020316040800005,718632549326594187495718632134975268567283491982146753671359824859427316243861975
000000000000109620060007059001000000090804002000000346008000001906003000000000580,159268437473159628862347159341726895695834712287915346538472961916583274724691583
000000009500060030070002500000000000000704060032981000000000008005020000760390002,146573829528169437379842516457236981981754263632981745293415678815627394764398152
000006057000500000100080300800032000006010590000000006000100000000020970501700800,482396157369571482157284369895632714236417598714958236978143625643825971521769843
000016007000700930207000008839000000000038001500000000700000080050100000000509400,395816247168724935247395168839651724472938651516247893721463589954182376683579412
400018700800000002000004000000000000006053001007260430001070006030001080000600000,462518793813796542579324168354187629296453871187269435941872356635941287728635914
000002400500000908020065070080030001074000000060000009000004005000000030012007800,731982456546173928829465173985236741174598362263741589397824615458619237612357894
806300000013000090000600002700000000005060000001049200030010000000002047000036800,896321754213475698574698132729183465345267981681549273937814526168952347452736819
000091000000200870000600100000050000000060003007900216500000020280030500003007000,728391645136245879945678132612753498894162753357984216579816324281439567463527981
090000000008020300006000000500000400010005280000004073000060830060100020180200000,291356748478921365356478192537892416614735289829614573942567831765183924183249657
005000000017053009080100030004001020002000095000380600000700000020004300000009000,365928741417653289289147536674591823832476195591382674148735962926814357753269418
000060059084010300000007000008000000000300001500400900400000000050780240097000003,372864159984512367615937824238691475749325681561478932426153798153789246897246513
000000902009000010000065000007020000000050034020400098050001000080007003016000005,675183942839274516241965387497328651168759234523416798754631829982547163316892475
080000003600000907000050060000090000000403600159002000000008090020001040003500008,984167523615234987237859461346795812872413659159682734761348295528971346493526178
100900000080070400405002000000000003900036070000010090000240000204501008000000700,137954286682173459495682137751829643928436571346715892863247915274591368519368724
007006000000000104040203009408000006900810000000009000000000030001035080200008500,597146823382597164146283759418752396963814275725369418854921637671435982239678541
004300807800002030030006000006905002090070040000000000000000506000000000389050070,254319867867542139931786425146935782593278641728164953472893516615427398389651274
004200700200060000000300100005007009080600007409001080000000000610052040000000008,834219765291765834756348192365487219182693457479521386528934671617852943943176528
001000050036050009007900006000000030600801000000060105000000000598020000020073000,981346257436257819257918346812795634645831972379462185763589421598124763124673598
000008013000000800007020050030000000000096500508007021050300400000000000800051007,495768213326514879187923654239185746714296538568437921651379482973842165842651397
800003057705006300002004000000809000009040201063000000000000030004000070200090000,816923457745186329392574816127869543589347261463251798678412935954638172231795684
700000003008030200000007000000900407900460500360800000030500000001000020800009100,725198643198634275643257891582913467917462538364875912239541786451786329876329154
000001000108040500060090400000009000009700001400100230000000000057406000800000302,534271986198643527762895413681329745329754861475168239913582674257436198846917352
090040200000000003506900000000000150073000400002400076020001000000090700005070040,891345267247618593536927814489736152673152489152489376724861935368594721915273648
708900000006008040000250030000000100600010020070005060000070000920003000100080600,738941256256738941419256738582694173694317825371825469865479312927163584143582697
008607000070005410900000000000000002040200080007003500000000609000050700052090004,418637295673925418925841367831564972546279183297183546784312659369458721152796834
000000000020040003001097050000004630710206000002000000000600000200005307030000908,973562841625148793481397256859714632714236589362859174198673425246985317537421968
000900040081000005004052000000609300070000800200000004000000001603000900000106028,325918746781463295964752183158649372476325819239871564842597631613284957597136428
700006050060000040000700080040000000100300000003002400000073092008060000602001300,734986251869125743521734986247698135156347829983512467415873692378269514692451378
000002005060500800009100030752000000000380000000700000038000001000004003420008600,314892765267543819589176234752461398146389572893725146938657421675214983421938657
070000005000020900530000700009240000028509000000000001040010007001000043700300000,972136485814725936536498712369241578128579364457683291643912857291857643785364129
000300074700004000020000150000020090003600000500090040400000060090000010071260000,168352974759814623324976158647528391913647582582193746435781269296435817871269435
002040000680051000700000080000030005000000900205900701000009078000006090006300000,932648157684751329751293486479132865318567942265984731523419678147826593896375214
050300000000080490800900060970000200000000017406000080008000000000030100094000670,759346821162785493843921765971853246285694317436172589518267934627439158394518672
100280590000506001700009002070408010030000040002000000000090000053000000000004009,164283597329576481785149632576428913831957246492631875647395128953812764218764359
007600001400000000000804092090000050680072000002009030000000506005023800000000000,927635481418297365356814792194368257683572149572149638239481576765923814841756923
240000009003005000000067030005004000900080270001000006000000604080000007000270100,247138569693425781518967432725694813964381275831752946372819654189546327456273198
003250000000008500000700008000000069302040000768000100000000000800000004500821030,183259476274638591659714328415387269392146785768592143937465812821973654546821937
000000000000800037098001200000000006065000900800405300004000002000080000072056100,643572819251849637798631245137928456465713928829465371384197562516284793972356184
002000090000010300000000107004000075080509060070000008000104000000030500105067000,312785694957416382468392157634821975281579463579643218893154726726938541145267839
000060050406310000000000080005000460010000520003002000900000000024700000100250090,792468351486315972351927684275189463819643527643572819967831245524796138138254796
000640050040000000500008000000081300003050008100002005700000000005400036082005000,827643159346519287591278643459781362263954718178362495734896521915427836682135974
000000600034090000600008003000600000000400050250000100008000040096020000100087590,815743629734296815629518473487651932961432758253879164378965241596124387142387596
000000290040000600007058000680007000102000060000004080000000000000401900050780013,568143297341972658927658341684217539132895764795364182413529876876431925259786413
000000900009014006640370000002001030090005000010060007200400070000006800000000600,571682943329514786648379215762841539493725168815963427256498371137256894984137652
060070000500003601400000090094020070800000004007060500000000000300104000756000000,268971345579243681413685297694528173825317964137469528941756832382194756756832419
700000000009030000408001007000000080000627005000045009503004000002000600000070908,736482591159736824428591367245319786891627435367845219583964172972158643614273958
000010008090000700060005000006000302020000400510080000080000070000602030003090061,735416928491328756862975143976154382328769415514283697689531274157642839243897561
605700001100000008090000002001030000007040060080000905010903000000005000074080000,625798431143256798798314652461539287957842163382167945816923574239475816574681329
000000000000105000040008002009003100000010000680750004007060030090000700054000980,138627549962145873745398612529483167473916258681752394217869435896534721354271986
001009006000002300009603024000000000058000009600700001000000000040030700160000508,231479856486512397579683124712394685358261479694758231827145963945836712163927548
070001005000005040000302001008010000035000600940800003020000800009000060000720000,473681925281975346596342781768513492135294678942867513627139854319458267854726139
004807003100000060090000800806000002000010030050900001000006540600050000400001000,564827913178539264293164857816375492942618735357942681731286549629453178485791326
003000000261000000000376000000020004000009005075040086000000000000008009034090170,743251698261984357598376421386527914412869735975143286659712843127438569834695172
040060170000520000100000008008000005000803200627000900010000006004052000000700000,543968172876521349192437658938276415451893267627145983719384526384652791265719834
000200400000008205051000000000014800000900000029000000030100070008570000100020604,983251467476398215251467389365714892714982536829635741532146978648579123197823654
501000308000070020000000510650000000009002004020090000004700003200000001010006009,571269348348175926962843517653417892189532674427698135894751263236984751715326489
200000080000400000000900746060205004000300070040076020003010000600008000010000002,294167385786453291135982746867295134952341678341876529423619857679528413518734962
074081000000056090000400030000900001007005300006000000000020000030000217000890006,974381562318256794562479138253948671487615329196732845645127983839564217721893456
007018009004005001000000500921700008800500000000409000008000007609000000000000280,567218349394675821182394576921736458846521793735489612258143967679852134413967285
000008000100000095050000300200000640600810000090400030040000000906000000030524009,329158476168347295457296381213975648674813952895462137542689713986731524731524869
000040000300000062001200030000000520008674000000800640000001800009000010060709000,692347185347158962851296734476913528528674391913825647235461879789532416164789253
043500007000000020250309060004005801001004000700000000000080090002100000000030005,643521987179648523258379164924765831831294756765813249516487392392156478487932615
000001030000070009300000801900000007007000180020640000002000005000200090153060070,589421736216873549374596821935182467647359182821647953492738615768215394153964278
000000901004000070100000520000090003073000200090750000008100060001900000000507032,367425981524819376189376524615298743873641295492753618758132469231964857946587132
300000050920000000860070040000048000000190003080600090000000401040500739000001000,317264958924815376865973142592348617476192583183657294658739421241586739739421865
002007000010000030008006004004000062300082007000560300000405000000000270801700000,492837651615249738738156924984371562356982147127564389273495816549618273861723495
005000006046090300810000002200007008500020000000006054000900000100800400000002105,925318746746295381813674592264537918581429673379186254432951867157863429698742135
000000000305040002000260008010000000000400905070306201700000000200018400600500080,928173654365849712147265398412957836836421975579386241781694523253718469694532187
000090500920300000070600004000008050000030002401000690007002000100003005002000160,618294537924357816573681924236948751795136482481725693867512349149863275352479168
000000000000140060007059031000000007030400500802000009016904000040207006000000008,165378924389142765427659831694825317731496582852713649516984273948237156273561498
000710900002000010000900026020000300045690000906001000008005000070200000200000530,684712953392586714157934826821457369745693281936821475418375692573269148269148537
053006170000000000060098002200001004040800309000000000001000060009700800020000901,953246178812357496764198532275931684146872359398465217481529763639714825527683941
004080000050000264910000000007000000300000057000054010000000001200500603090043800,764285139853179264912436785547318926381962457629754318436827591278591643195643872
000006030000010802700300950010600300005200094038900000100000005080000000000005400,894526731356719842721384956419657328675238194238941567143892675587463219962175483
400070900000000050005009020000040701008000000020087503003000000090000078180400030,432875916916324857875169324359246781748531269621987543563718492294653178187492635
000001700000006094040350080000080000001907000930200005000000009000500470804000500,698421753153876294742359186426185937581937642937264815215748369369512478874693521
053020100100000900000470058300708000002000000040000009060090710000000000007500460,853926174174835926629471358396758241582149637741263589268394715435617892917582463
100000000702000640000207080005009000910000003000002106000000004287000000060900820,158496732732581649649237581325169478916874253874352196591728364287643915463915827
000305000007091008000000300480000001000083500092000400000000130001000004040009025,824375916357691248169248357483952671716483592592716483275864139931527864648139725
005000007800960000030000900001000000050003028070000014020600090000208060004009005,965321847847965132132487956281546379459173628376892514528614793793258461614739285
000000000007400002003050008000000000906000500000062810300008100090170304750004000,649823751587419632213756498138547926926381547475962813364298175892175364751634289
064090050000000018080302007425009000010030000000000000300000702800200006050700000,764891253532476918189352467425689371918537624673124895341965782897213546256748139
000004070000020100800060902026000000000030807050001000003070010600892003080000000,932184675567329184814567932326758491149236857758941326493675218671892543285413769
000080000100000090029130006000000000578900010002360000000004000010005930400600200,654289371137456892829137546361578429578942613942361758283794165716825934495613287
006090000000008052740000080000000000000900561203001470000000000008040635000079000,856297143319468752742315986561784329487923561293651478124536897978142635635879214
000000001100050080090100704070080000000049000030000479009036000001008000020004006,457893261162457983398162754974385612216749538835621479589236147641978325723514896
920001040001040020500609000004000000000314090000200003030000500400050800070800000,926781345781543629543629187314978256652314798897265413238496571469157832175832964
000000004100004000020070600092600400000039000007050002903000020000900040510700800,735196284169824375824375619392687451451239768687451932943568127278913546516742893
070600008040350016060019050007000000006000005090074000002000090000801000084000000,571642938249358716368719254857126349426983175193574682712465893635891427984237561
000000000340500200090314000000000000000071094004600500600000002017008060030007800,865792431341586279792314658973425186526871394184639527658943712417258963239167845
000052600010007000006000201000003000104000500702890000081900003003005080020000000,398152674215467839476389251869543127134276598752891346581924763643715982927638415
000501082050009000007080006276010050005000000300000700000000060083900000000024800,694571382852369147137482596276813459915247638348695721421738965783956214569124873
000000090063002080000460700010900065050000008908000000807000040005100000090704000,524817693763592481189463752412978365356241978978356214837625149645139827291784536
700000000140900020000584600000030008000000040093000000800000100210048300007001006,758162934146973825329584617571436298682719543493825761864397152215648379937251486
900002007600010040000000532000400000200090300050006800000050000890000070070008610,938542167625317948741689532189435726267891354453276891316754289892163475574928613
000000100720006040130000000400003002060090000008000050000027390000800000870100406,986742135725316849134958267497583612563291784218674953651427398342869571879135426
960140008045000900000020030000082000050006000400790250000000403004000009010000000,962143578345678912178925634796582341251436897483791256527819463634257189819364725
600050000080000000000400073000000200009300407010740050700030002091060300040000080,637259814184673529925418673476985231859321467312746958768534192291867345543192786
000070600156000000000002000819400003000100450000000000007050000060207080300068020,492571638156843279738692145819425763673189452524736891287354916965217384341968527
001002076030000000287001400000000008013000920700204000090000000000085000000030809,951842376634759182287361495429513768513678924768294531895127643346985217172436859
000000000005020009093040706000000000501008004000251900002000000030000010084906200,267389541415627839893145726978463152521798364346251987752814693639572418184936275
960000000000000200405900070000000012500008930070030008000503100000190000092080000,968327541731845296425916873384659712516278934279431658847563129653192487192784365
000000000904800600000714002020060005300000200608107000000000100043000050001030060,182396547974852631536714982427963815319548276658127394865479123243681759791235468
020094000300000040809500000000402681000000403000000050003050002000100300000006105,721894536356217948849563217597432681168975423234681759413759862675128394982346175
000000000400870015030000820009030000080000060200150003000060007007085009300000200,852613794496872315731549826619438572583927461274156983928364157147285639365791248
000004089900000060000090000400200000050030720807000040002000008790300000008010406,375624189981573264246891357413267895659438721827159643162745938794386512538912476
000000080300097600000803900000500000000000030009048205071000002000400000635000047,197264583358197624264853971843526719526719438719348265471635892982471356635982147
000000007300000008700006300000000004006027080080005921051070000060002030000008005,618239457329754168745186392532891674196427583487365921251973846864512739973648215
800000006405008000100000030000000205051809000000000078040000120006300049000405000,823917456465238791197564832978643215251879364634152978549786123786321549312495687
008000000601803000420050000000000820006208790004000010000000003700004000059307000,538412967691873452427956138975631824316248795284795316142589673763124589859367241
002001000030004005090007012050930008000706000800000006000000160000000050900150003,642591387731824695598367412156932748429786531873415926385279164217643859964158273
320000000000008609000054002000000308000400020085000094501006000000030000462090000,328961475754328619916754832149572368673489521285613794531246987897135246462897153
040050006000806003007040000020030000050004930006008000800005600004300090000900001,342159786519876423687243159928731564751624938436598217893415672174362895265987341
030004007700230006040005000100020000000906000000300805004000900000009200095000703,231694587758231496946785132173528649582946371469317825624173958317859264895462713
000070600300100549200080000000000001060700480005804000000020000021300000430000100,194573628387162549256489317843296751962715483715834296579621834621348975438957162
006900000107050300000000050000004003080003072001007000805076400060000100009100000,256938741147652398398741256972864513684513972531297864815376429763429185429185637
000070004100580000090000002035040000008700091000000030050000108006300000940006003,582973614164582379397614852735149286628735491419268537253497168876321945941856723
000600040050190000013080002620000008071000000900004071000008000800000300060530000,298673145456192783713485962624719538371856429985324671537948216849261357162537894
000000000001002003350000806000003007000108000000040539098000020005300000200609040,864735912971862453352914876426593187539178264187246539698457321745321698213689745
002030005800000904694007000403000001000080000000000290000006000000200310900005062,712934685835612974694857123463729851279581436158463297327196548546278319981345762
500000002100060500006073008050009020000010007000080009030000000280030005000400031,573891462198264573426573918857349126349612857612785349731956284284137695965428731
040009503902007000000000000430000000006070300008940000800094000500000086000706004,641829573982357461375461298439615827156278349728943615867594132594132786213786954
009320060000000040600040210003800004000000009081065000090003500000100000700002090,849321765312576948657948213273819654465237189981465372194783526526194837738652491
000000085081040000037001004000013000000400000020060700000600040090007001003000652,249376185581942376637581294965713428718429563324865719152638947496257831873194652
000638000300001000000005080020007000080500470040000020000090040090700010004010260,475638192368921754219475386526147938983562471147389625831296547692754813754813269
000100008000350000050009000000000400400008090080230000600000007700000030034076952,973142568846357129251689374362791485417568293589234716625913847798425631134876952
000200405000060300060008000010050000004832709030600002000000020000003500708000003,389271465271465398465398271812759634654832719937614852543187926126943587798526143
000000000076001000802006050090070300060000002140060900000014000000300020005902070,951438267476521893832796451298175346563849712147263985729614538684357129315982674
065000030407000080008007001020001000006800000900006000000003000700060410014008009,165284937437619285298357641823491756576832194941576328659143872782965413314728569
000000000045009020002004601000200040400010000090005007020000010500700460008060090,367128954145679823982354671871236549453917286296845137624593718539781462718462395
000080003100000025000690084003002000020809000090070000001000009007030006300008040,974285163186347925532691784713452698425869371698173452841726539257934816369518247
021006004005000020060000300000031400000400008500000000000070900802504000030002640,921386574345719826768245319289631457613457298574928163456173982892564731137892645
030000000002000601600500208000010070010000803000004006003600002400870000200900004,835126947972483651641597238369218475514769823728354196193645782456872319287931564
007060000050200600060000102003080004800005000001000203002003041000000000010750800,237168495159247638468539172623981754874325916591476283782693541945812367316754829
000003060500018009000070080009004000000060001006000053048000020120007900000200700,481923567567418239932576184819354672354762891276189453748691325125837946693245718
004056000305800090000000060040910086000002000020705030000000010080100004000004002,974356128365821497218497563547913286139682745826745931453278619782169354691534872
000007000006004009900060050000090000000700302200801007000000130650018000803000700,345987216126534879978162453764293581581746392239851647492675138657318924813429765
007000000403100097010609005000002000000000080000500906000000000906410300008067004,697354812453128697812679435761892543539746281284531976145283769976415328328967154
008000007006300080000105060083900000970010500000000020067002000800090000400006800,158269347296347185734185269583924716972618534641573928367852491825491673419736852
000000000003006805040080900030070000004010070080900300008400007070830200000091000,816359742793246815245187936531678429924513678687924351358462197179835264462791583
000003040070090000438005000000502010002700000040000008009030820003040060000007003,921873546675491382438625971396582417582714639147369258759136824213948765864257193
000000000030600000004028910000000000000497000820001470000000000600239001300000846,287913564931654287564728913476582139153497628829361475715846392648239751392175846
080005000300000047000020500020500036000000200430090070000403010608070400500000000,981745362352961847764328591827514936195637284436892175279453618618279453543186729
000000000040180050008900000000000000001008049500403026007000000300009000900536780,195362478643187952728954361864295137231678549579413826457821693386749215912536784
060005300500400080001900000000007000090004057058000160004003090000050070900000008,869275341527431689341968725416587932293614857758392164174823596682159473935746218
000000000000070050516028040000000000603000007089052001008000090900600800760010000,837564219294173658516928743175386924623491587489752361358247196941635872762819435
000000400094200050000050070470010000050000030001009500000000200026700100700080940,567938412194267358283154679472315896859426731631879524348591267926743185715682943
000000090000690050520700000000030009080205300040080006300046005001000000200300400,836524197714693852529718634652431789987265341143987526398146275471852963265379418
003020000000080075801300006960800050000012400100000000000600030006930800000000007,653724918249186375871395246964873152387512469125469783792648531516937824438251697
400701000750003008200000000005100003000060050380005047000004001000010802000000030,498751326751623498263489715925147683147368259386295147872534961534916872619872534
000000000010000047000056302000000000020010030700642001000000010073025080500030004,392784165615293847847156392951378426426519738738642951284967513173425689569831274
073000000200006000004000309000000080701080400020000761000010020006020000000938040,873149256295376814614852379439761582761285493528493761387614925946527138152938647
060003020300900040400000508000000000200030000006002301070460000690000000008207009,861543927357928146429176538713694285285731694946852371172469853694385712538217469
060000002300002090001000576000000000002600310080305400007096008000007000100050000,964571832375862194821943576513724689742689315689315427437196258258437961196258743
200000070000040000076009000001005090000600005900000640600000050030080007050304102,293158476518746239476239518861425793347691825925873641682917354134582967759364182
000000050001004600900070008000007009710045000400080000000209007040010060070000102,367821954821594673954376218682137549713945826495682731136259487249718365578463192
000001000002080070060004038000800100045000700721600403000000010000090002300006000,983761254452983671167524938639847125845312796721659483296435817574198362318276549
003000000900000004000600031000800000000007300804230560020008010000050000698100200,163489725952713684487625931539846172216597348874231569325968417741352896698174253
700300209080010003002006500028000000050004100000100000000580000000009002603002010,761345289589217463432896571128753694357964128946128357274581936815639742693472815
602400000004900200090300000059000001000589006000010008300000080000020050000600104,632458917584971263197362845859246731713589426246713598375194682461827359928635174
600000003090000000052006040020700000000005106079030000904003052000900030001000008,617489523498352617352176849126748395843295176579631284964813752285967431731524968
000000000028070010704600000001000090090104080500000300000410500300009000000703609,163842957928375416754691832831567294692134785547928361289416573376259148415783629
300000007100908002049000000000030001000052300000004006000007000408000150600009084,386245917157968432249371865892736541764152398531894276915487623478623159623519784
000018000010630000000000089709006200002000005800050300000093040600000030001400050,475918623918632574263574189759346218132789465846251397527193846694825731381467952
000008000003670000000910760000040890008003050000090070000000000310500000045209001,276358419193674285854912763537146892968723154421895376689431527312567948745289631
600000000005370090000010007000002040140050000083000900006090000000000320930480005,671924583825376194394518267569832741147659832283147956756293418418765329932481675
000000010004000300360500007035028400000310000000740000020007000000001500907000802,259473618874169325361582947735928461642315789198746253526837194483291576917654832
021009000007010060000800310000000530010095840070008000000030000009400100060020000,321659784487213965956874312894762531612395847573148629145936278239487156768521493
000050034500700809000009000009003000003000005600800000010008000700060400904020603,298156734561734829437289156859413267143672985672895341316948572725361498984527613
300008060002005409076000210040009000007000900010820000009302000060000000000071000,394218765182765439576943218643159827827436951915827643459382176761594382238671594
098000007070080020000300500200000000030070000065000900000000004607003008900046250,598462317173985426426317589214639875839571642765824931352198764647253198981746253
000000000000863020091200080000000000027000000014000807000090003000005010009324065,862951374475863129391247586938716452527489631614532897756198243243675918189324765
